animal_id,species,breed,sex,age_months,holding_id,area_id,vaccinated_fmd
KE-000000,cattle,Friesian cross,M,57,H00000,A00,0
KE-000001,cattle,Friesian cross,F,111,H00000,A00,1
KE-000002,cattle,Sahiwal,M,111,H00000,A00,1
KE-000003,cattle,Zebu,F,46,H00001,A00,0
KE-000004,cattle,Zebu,M,27,H00001,A00,1
KE-000005,cattle,Sahiwal,F,86,H00001,A00,1
KE-000006,cattle,Boran,F,80,H00001,A00,0
KE-000007,cattle,Sahiwal,M,16,H00001,A00,0
KE-000008,cattle,Sahiwal,F,105,H00001,A00,1
KE-000009,cattle,Ayrshire cross,F,47,H00001,A00,1
KE-000010,cattle,Ayrshire cross,F,12,H00002,A00,1
KE-000011,cattle,Friesian cross,F,49,H00002,A00,1
KE-000012,cattle,Zebu,F,77,H00002,A00,1
KE-000013,cattle,Friesian cross,M,66,H00002,A00,0
KE-000014,cattle,Zebu,M,72,H00002,A00,0
KE-000015,cattle,Boran,M,109,H00002,A00,1
KE-000016,cattle,Friesian cross,M,54,H00002,A00,0
KE-000017,cattle,Ayrshire cross,F,58,H00002,A00,0
KE-000018,cattle,Boran,M,20,H00003,A00,0
KE-000019,cattle,Boran,M,88,H00003,A00,0
KE-000020,cattle,Ayrshire cross,M,75,H00004,A00,0
KE-000021,cattle,Sahiwal,F,105,H00004,A00,0
KE-000022,cattle,Friesian cross,M,30,H00005,A00,0
KE-000023,cattle,Sahiwal,F,53,H00005,A00,1
KE-000024,cattle,Friesian cross,F,86,H00005,A00,1
KE-000025,cattle,Sahiwal,M,107,H00005,A00,1
KE-000026,cattle,Zebu,M,39,H00005,A00,0
KE-000027,cattle,Sahiwal,F,75,H00006,A00,1
KE-000028,cattle,Friesian cross,M,10,H00006,A00,1
KE-000029,cattle,Ayrshire cross,M,6,H00006,A00,0
KE-000030,cattle,Zebu,F,92,H00006,A00,0
KE-000031,cattle,Ayrshire cross,F,55,H00007,A00,0
KE-000032,cattle,Sahiwal,F,55,H00007,A00,0
KE-000033,cattle,Friesian cross,F,119,H00007,A00,0
KE-000034,cattle,Boran,F,26,H00007,A00,1
KE-000035,cattle,Zebu,M,25,H00008,A00,0
KE-000036,cattle,Friesian cross,F,110,H00008,A00,1
KE-000037,cattle,Boran,F,51,H00008,A00,1
KE-000038,cattle,Zebu,F,118,H00009,A00,1
KE-000039,cattle,Boran,F,71,H00009,A00,0
KE-000040,cattle,Boran,M,48,H00009,A00,1
KE-000041,cattle,Friesian cross,M,54,H00009,A00,0
KE-000042,cattle,Ayrshire cross,F,48,H00009,A00,1
KE-000043,cattle,Zebu,F,25,H00009,A00,0
KE-000044,cattle,Ayrshire cross,M,38,H00009,A00,1
KE-000045,cattle,Ayrshire cross,M,104,H00009,A00,1
KE-000046,cattle,Zebu,F,8,H00010,A00,0
KE-000047,cattle,Friesian cross,F,32,H00010,A00,0
KE-000048,cattle,Zebu,F,96,H00010,A00,0
KE-000049,cattle,Ayrshire cross,F,118,H00010,A00,0
KE-000050,cattle,Ayrshire cross,F,11,H00010,A00,0
KE-000051,cattle,Boran,M,81,H00010,A00,1
KE-000052,cattle,Ayrshire cross,F,53,H00010,A00,0
KE-000053,cattle,Zebu,F,58,H00011,A00,1
KE-000054,cattle,Friesian cross,F,34,H00011,A00,1
