infected_herd_weeks,herds_infected,animals_infected,confirmed_outbreaks,market_closure_weeks,quarantine_weeks,early_action_weeks,seed,policy
2283,772,35703,42,178,312,0,100,status_quo
1897,644,30146,42,159,301,143,100,sentinel
1398,442,20431,33,141,251,0,101,status_quo
1811,623,26441,52,219,362,105,101,sentinel
1866,607,24598,42,180,308,0,102,status_quo
1715,561,22414,48,215,349,184,102,sentinel
1617,551,25060,37,110,227,0,103,status_quo
1294,450,21036,32,94,203,137,103,sentinel
2206,705,34075,46,193,341,0,104,status_quo
1796,585,27391,38,143,254,174,104,sentinel
2130,711,32984,54,197,360,0,105,status_quo
1739,585,29437,50,201,339,181,105,sentinel
595,202,10543,15,60,102,0,106,status_quo
171,57,4002,6,15,39,141,106,sentinel
2222,717,32526,42,164,285,0,107,status_quo
1841,582,26364,37,141,259,164,107,sentinel
2202,742,34289,53,200,353,0,108,status_quo
2357,803,37068,69,264,449,118,108,sentinel
2234,731,34085,49,189,346,0,109,status_quo
1630,537,24705,39,153,272,182,109,sentinel
200,55,3569,5,36,55,0,110,status_quo
186,51,3349,5,36,55,90,110,sentinel
2700,916,39743,60,226,401,0,111,status_quo
2361,786,36709,72,262,482,150,111,sentinel
2207,730,33589,59,252,425,0,112,status_quo
1774,584,26017,53,236,388,148,112,sentinel
2060,681,29528,55,229,380,0,113,status_quo
1968,660,29162,52,219,356,162,113,sentinel
1914,577,25601,37,190,291,0,114,status_quo
1826,549,25041,36,181,284,170,114,sentinel
2408,804,39657,52,203,354,0,115,status_quo
2316,791,39659,56,216,385,130,115,sentinel
2078,675,28743,45,156,323,0,116,status_quo
2003,649,27143,47,165,339,111,116,sentinel
1745,545,26532,30,138,225,0,117,status_quo
1570,487,22565,27,111,204,94,117,sentinel
1889,626,29980,44,168,301,0,118,status_quo
1606,538,25728,48,174,326,147,118,sentinel
2088,681,32122,53,213,355,0,119,status_quo
1878,610,28061,52,202,351,146,119,sentinel
