week,from_holding,to_holding,from_area,to_area,n_animals,permit_recorded,date
0,H00000,H00005,0,0,16,1,2023-01-02
0,H00001,H00138,0,2,22,1,2023-01-02
0,H00003,H00422,0,10,3,1,2023-01-02
0,H00020,H00029,0,0,15,0,2023-01-02
0,H00022,H00008,0,0,12,1,2023-01-02
0,H00024,H00011,0,0,17,1,2023-01-02
0,H00029,H00999,0,25,10,1,2023-01-02
0,H00040,H00062,1,1,14,1,2023-01-02
0,H00046,H00266,1,6,13,0,2023-01-02
0,H00047,H00086,1,1,20,1,2023-01-02
0,H00048,H00694,1,15,20,0,2023-01-02
0,H00050,H00074,1,1,20,1,2023-01-02
0,H00056,H00031,1,0,6,1,2023-01-02
0,H00058,H00040,1,1,19,0,2023-01-02
0,H00059,H00025,1,0,23,1,2023-01-02
0,H00061,H00040,1,1,21,1,2023-01-02
0,H00073,H00096,1,1,2,1,2023-01-02
0,H00084,H00000,1,0,4,1,2023-01-02
0,H00091,H00071,1,1,18,0,2023-01-02
0,H00092,H00654,1,14,13,0,2023-01-02
0,H00093,H00098,1,1,3,0,2023-01-02
0,H00112,H00120,2,2,22,0,2023-01-02
0,H00117,H00255,2,5,13,0,2023-01-02
0,H00134,H00132,2,2,14,0,2023-01-02
0,H00137,H00442,2,10,4,1,2023-01-02
0,H00138,H00118,2,2,5,1,2023-01-02
0,H00141,H00137,2,2,4,1,2023-01-02
0,H00150,H00184,3,3,15,1,2023-01-02
0,H00152,H00082,3,1,22,1,2023-01-02
0,H00154,H00177,3,3,9,1,2023-01-02
0,H00159,H00147,3,3,21,0,2023-01-02
0,H00167,H00165,3,3,5,0,2023-01-02
0,H00175,H00166,3,3,6,0,2023-01-02
0,H00179,H00153,3,3,17,1,2023-01-02
0,H00183,H00169,3,3,6,0,2023-01-02
0,H00193,H00225,4,4,19,0,2023-01-02
0,H00194,H00023,4,0,8,1,2023-01-02
0,H00199,H00211,4,4,23,1,2023-01-02
0,H00203,H00068,4,1,10,1,2023-01-02
0,H00232,H00126,5,2,7,1,2023-01-02
0,H00243,H00262,5,5,2,1,2023-01-02
0,H00263,H00241,5,5,9,1,2023-01-02
0,H00271,H00114,6,2,15,1,2023-01-02
0,H00272,H00289,6,6,5,1,2023-01-02
0,H00320,H00342,7,7,9,0,2023-01-02
0,H00334,H00256,7,5,15,1,2023-01-02
0,H00335,H00242,7,5,8,1,2023-01-02
0,H00346,H00353,8,8,9,0,2023-01-02
0,H00371,H00093,8,1,12,1,2023-01-02
0,H00376,H00353,8,8,14,1,2023-01-02
0,H00382,H00950,9,23,17,0,2023-01-02
0,H00385,H00386,9,9,9,1,2023-01-02
0,H00396,H00389,9,9,3,0,2023-01-02
0,H00400,H00400,9,9,11,1,2023-01-02
0,H00420,H00137,10,2,5,1,2023-01-02
0,H00431,H00961,10,23,7,0,2023-01-02
0,H00433,H00412,10,10,16,1,2023-01-02
0,H00438,H00417,10,10,17,1,2023-01-02
0,H00439,H00444,10,10,21,0,2023-01-02
0,H00445,H00457,10,10,16,0,2023-01-02
0,H00491,H00483,11,11,21,1,2023-01-02
0,H00503,H00132,11,2,8,1,2023-01-02
0,H00505,H00507,11,11,21,0,2023-01-02
0,H00518,H00514,12,12,8,1,2023-01-02
0,H00533,H00515,12,12,13,0,2023-01-02
0,H00541,H00026,12,0,12,0,2023-01-02
0,H00545,H00514,12,12,5,1,2023-01-02
0,H00554,H00569,12,12,6,0,2023-01-02
0,H00564,H00562,12,12,15,1,2023-01-02
0,H00578,H00125,13,2,4,1,2023-01-02
0,H00602,H00621,13,13,8,0,2023-01-02
0,H00617,H00614,13,13,3,1,2023-01-02
0,H00619,H00643,13,14,18,1,2023-01-02
0,H00626,H00659,13,14,7,1,2023-01-02
0,H00665,H00443,15,10,17,1,2023-01-02
0,H00674,H00669,15,15,4,0,2023-01-02
0,H00681,H00191,15,4,10,1,2023-01-02
0,H00695,H00679,15,15,24,1,2023-01-02
0,H00715,H00721,16,16,8,0,2023-01-02
0,H00717,H00705,16,16,18,1,2023-01-02
0,H00726,H00719,16,16,17,1,2023-01-02
0,H00736,H00349,16,8,19,0,2023-01-02
0,H00754,H00014,17,0,18,0,2023-01-02
0,H00815,H00810,19,19,8,0,2023-01-02
0,H00829,H00828,19,19,17,0,2023-01-02
0,H00876,H00893,21,21,14,1,2023-01-02
0,H00883,H00876,21,21,22,1,2023-01-02
0,H00887,H00887,21,21,21,1,2023-01-02
0,H00896,H00259,21,5,13,1,2023-01-02
0,H00898,H00927,21,22,21,0,2023-01-02
0,H00907,H00844,22,20,13,0,2023-01-02
0,H00929,H00925,23,22,7,1,2023-01-02
0,H00948,H00358,23,8,6,0,2023-01-02
0,H00958,H00936,23,23,6,1,2023-01-02
0,H00962,H00945,23,23,16,0,2023-01-02
0,H00972,H00853,24,20,18,1,2023-01-02
0,H00975,H00448,24,10,4,0,2023-01-02
0,H00988,H00630,24,14,17,1,2023-01-02
0,H00996,H01007,25,25,8,1,2023-01-02
0,H00997,H01007,25,25,12,1,2023-01-02
0,H01016,H01010,25,25,23,0,2023-01-02
0,H01021,H00292,25,6,16,0,2023-01-02
1,H00002,H00017,0,0,6,0,2023-01-09
1,H00007,H00020,0,0,18,0,2023-01-09
1,H00030,H00016,0,0,13,1,2023-01-09
1,H00046,H00090,1,1,24,0,2023-01-09
1,H00060,H00264,1,5,7,0,2023-01-09
1,H00065,H00090,1,1,6,1,2023-01-09
1,H00070,H00414,1,10,7,0,2023-01-09
1,H00073,H00044,1,1,8,1,2023-01-09
1,H00082,H00129,1,2,13,1,2023-01-09
1,H00083,H00447,1,10,9,0,2023-01-09
1,H00092,H00086,1,1,5,1,2023-01-09
1,H00101,H00178,2,3,14,1,2023-01-09
1,H00106,H00114,2,2,17,0,2023-01-09
1,H00109,H00130,2,2,16,1,2023-01-09
1,H00114,H00118,2,2,7,0,2023-01-09
1,H00123,H00139,2,2,20,1,2023-01-09
1,H00126,H00006,2,0,24,0,2023-01-09
1,H00127,H00117,2,2,17,0,2023-01-09
1,H00139,H00110,2,2,7,0,2023-01-09
1,H00142,H00262,2,5,22,1,2023-01-09
1,H00144,H00163,3,3,15,1,2023-01-09
1,H00185,H00148,3,3,13,1,2023-01-09
1,H00199,H00188,4,4,18,1,2023-01-09
1,H00211,H00458,4,10,13,1,2023-01-09
1,H00222,H00056,4,1,7,0,2023-01-09
1,H00234,H00374,5,8,2,1,2023-01-09
1,H00235,H00234,5,5,19,1,2023-01-09
1,H00236,H00261,5,5,6,1,2023-01-09
1,H00237,H00038,5,0,2,1,2023-01-09
1,H00254,H00247,5,5,14,1,2023-01-09
1,H00255,H00413,5,10,24,0,2023-01-09
1,H00257,H00247,5,5,2,1,2023-01-09
1,H00259,H00025,5,0,10,1,2023-01-09
1,H00264,H00240,5,5,18,0,2023-01-09
1,H00265,H00284,6,6,22,1,2023-01-09
1,H00271,H00304,6,6,10,0,2023-01-09
1,H00277,H00272,6,6,3,0,2023-01-09
1,H00289,H00280,6,6,10,0,2023-01-09
1,H00308,H00361,7,8,23,1,2023-01-09
1,H00310,H00515,7,12,13,1,2023-01-09
1,H00325,H00129,7,2,11,0,2023-01-09
1,H00346,H00865,8,20,22,1,2023-01-09
1,H00350,H00250,8,5,16,1,2023-01-09
1,H00352,H00268,8,6,21,1,2023-01-09
1,H00356,H00369,8,8,12,1,2023-01-09
1,H00368,H00190,8,4,14,1,2023-01-09
1,H00379,H00387,9,9,16,1,2023-01-09
1,H00383,H00404,9,9,7,1,2023-01-09
1,H00390,H00131,9,2,10,0,2023-01-09
1,H00412,H00437,10,10,15,1,2023-01-09
1,H00416,H00302,10,6,8,0,2023-01-09
1,H00422,H00477,10,11,22,1,2023-01-09
1,H00431,H00596,10,13,10,1,2023-01-09
1,H00449,H00428,10,10,23,1,2023-01-09
1,H00454,H00426,10,10,17,0,2023-01-09
1,H00462,H00419,10,10,20,1,2023-01-09
1,H00472,H00015,11,0,2,0,2023-01-09
1,H00473,H00488,11,11,14,1,2023-01-09
1,H00502,H00732,11,16,21,0,2023-01-09
1,H00506,H00446,11,10,11,0,2023-01-09
1,H00510,H00829,11,19,19,1,2023-01-09
1,H00512,H00804,11,18,17,0,2023-01-09
1,H00519,H00566,12,12,23,1,2023-01-09
1,H00528,H00004,12,0,9,1,2023-01-09
1,H00544,H00526,12,12,7,0,2023-01-09
1,H00553,H00516,12,12,22,1,2023-01-09
1,H00567,H00565,12,12,19,0,2023-01-09
1,H00568,H00527,12,12,20,0,2023-01-09
1,H00590,H00593,13,13,24,0,2023-01-09
1,H00597,H00423,13,10,2,1,2023-01-09
1,H00612,H00638,13,14,9,0,2023-01-09
1,H00623,H00606,13,13,8,0,2023-01-09
1,H00628,H00644,14,14,7,1,2023-01-09
1,H00630,H00661,14,14,18,0,2023-01-09
1,H00635,H00628,14,14,15,1,2023-01-09
1,H00638,H00657,14,14,9,1,2023-01-09
1,H00652,H00414,14,10,13,1,2023-01-09
1,H00659,H00100,14,2,11,0,2023-01-09
1,H00681,H00680,15,15,23,1,2023-01-09
1,H00683,H00939,15,23,14,0,2023-01-09
1,H00691,H00678,15,15,19,0,2023-01-09
1,H00709,H00774,16,18,15,1,2023-01-09
