area_id,week,date,score,band,data_confidence,drivers_up,drivers_down,farmer_reports,vet_reports,inbound_animals,inbound_change_pct,inbound_from_outbreak_areas_2w,vacc_coverage,rain_mm,confirmed_outbreak,target
A00,104,2024-12-30,41.0,Elevated,Adequate,no outbreak declared here in the last 8 weeks | 1 suspected cases reported by vets this week | 45 weeks since last vaccination campaign | 35 cattle arrived from other sub-counties,0 confirmed outbreaks in nearby sub-counties (last 4 weeks) | seasonal timing,1.0,1.0,71.0,170.22222222222223,0.0,0.4305754836696402,4.15249591800622,0.0,0
A00,105,2025-01-06,6.0,Low,Adequate,1 vet-reported suspected cases in the last 2 weeks | no outbreak declared here in the last 8 weeks | 1 confirmed outbreaks in nearby sub-counties (last 4 weeks) | seasonal timing,20 cattle arrived from areas with recent outbreaks | drier than normal conditions,0.0,0.0,51.0,79.2,20.0,0.4241168514145956,2.2321948800441667,0.0,0
A00,106,2025-01-13,2.0,Low,Adequate,1 confirmed outbreaks in nearby sub-counties (last 4 weeks) | no outbreak declared here in the last 8 weeks | seasonal timing | 33 cattle arrived from other sub-counties,0 farmer symptom reports in the last 2 weeks | 33 cattle arrived from areas with recent outbreaks,0.0,0.0,70.0,141.93548387096774,33.0,0.4177550986433767,2.2394586617218644,0.0,0
A00,107,2025-01-20,6.0,Low,Adequate,1 suspected cases reported by vets this week | 1 vet-reported suspected cases in the last 2 weeks | 1 confirmed outbreaks in nearby sub-counties (last 4 weeks) | no outbreak declared here in the last 8 weeks,0 farmer symptom reports in the last 2 weeks | 13 cattle arrived from areas with recent outbreaks,0.0,1.0,68.0,102.07612456747405,13.0,0.411488772163726,3.680731260962237,0.0,0
A00,108,2025-01-27,7.0,Low,Adequate,1 confirmed outbreaks in nearby sub-counties (last 4 weeks) | 1 vet-reported suspected cases in the last 2 weeks | no outbreak declared here in the last 8 weeks | 0 cattle arrived from areas with recent outbreaks,0 farmer symptom reports in the last 2 weeks | symptom reports at or below normal,0.0,0.0,57.0,38.93557422969188,0.0,0.4053164405812701,4.418766394769378,0.0,0
A00,109,2025-02-03,4.0,Low,Adequate,no outbreak declared here in the last 8 weeks | 1 farmer symptom reports this week | symptom reports well above this area's normal level | 84 cattle arrived from other sub-counties,0 confirmed outbreaks in nearby sub-counties (last 4 weeks) | seasonal timing,1.0,0.0,84.0,71.98067632850241,15.0,0.399236693972551,3.5169965989081216,0.0,0
A00,110,2025-02-10,2.0,Low,Adequate,no outbreak declared here in the last 8 weeks | 49 cattle recorded arriving this week | 31 cattle arrived from other sub-counties | cattle arrivals -6% compared with recent weeks,drier than normal conditions | 15 cattle arrived from areas with recent outbreaks,0.0,0.0,49.0,-6.29067245119306,15.0,0.3932481435629628,5.925898973145416,0.0,0
A00,111,2025-02-17,2.0,Low,Adequate,no outbreak declared here in the last 8 weeks | 31 cattle arrived from other sub-counties | 0 cattle arrived from areas with recent outbreaks,0 farmer symptom reports in the last 2 weeks | seasonal timing,0.0,0.0,31.0,-43.529411764705884,0.0,0.3873494214095183,9.6085021735453,0.0,0
A00,112,2025-02-24,1.0,Low,Adequate,no outbreak declared here in the last 8 weeks | 0 cattle arrived from areas with recent outbreaks,0 farmer symptom reports in the last 2 weeks | seasonal timing,0.0,0.0,4.0,-86.18042226487525,0.0,0.3815391800883755,13.490547949070258,0.0,0
A00,113,2025-03-03,4.0,Low,Adequate,2 confirmed outbreaks in nearby sub-counties (last 4 weeks) | no outbreak declared here in the last 8 weeks | 0 cattle arrived from areas with recent outbreaks | wetter than normal conditions,0 farmer symptom reports in the last 2 weeks | seasonal timing,0.0,0.0,76.0,42.731277533039645,0.0,0.3758160923870499,25.81562257156344,0.0,0
A00,114,2025-03-10,6.0,Low,Adequate,2 confirmed outbreaks in nearby sub-counties (last 4 weeks) | no outbreak declared here in the last 8 weeks | cattle arrivals -16% compared with recent weeks | 0 cattle arrived from areas with recent outbreaks,0 farmer symptom reports in the last 2 weeks | seasonal timing,0.0,0.0,45.0,-16.49269311064718,0.0,0.3701788510012442,31.5821703944735,0.0,0
A00,115,2025-03-17,43.0,Elevated,Adequate,2 confirmed outbreaks in nearby sub-counties (last 4 weeks) | no outbreak declared here in the last 8 weeks | 1 suspected cases reported by vets this week | 1 farmer symptom reports this week,seasonal timing | 9 cattle arrived from areas with recent outbreaks,1.0,1.0,26.0,-45.37444933920705,9.0,0.3646261682362255,18.40461704428092,0.0,1
A00,116,2025-03-24,46.0,Elevated,Adequate,2 farmer symptom reports in the last 2 weeks | 2 confirmed outbreaks in nearby sub-counties (last 4 weeks) | no outbreak declared here in the last 8 weeks | 1 farmer symptom reports this week,cattle arrivals -90% compared with recent weeks | seasonal timing,1.0,0.0,0.0,-90.29126213592234,9.0,0.3591567757126821,57.94046270591008,0.0,1
A00,117,2025-03-31,100.0,High,Adequate,6 farmer symptom reports in the last 2 weeks | no outbreak declared here in the last 8 weeks | 2 vet-reported suspected cases in the last 2 weeks | symptom reports well above this area's normal level,20 cattle recorded arriving this week,5.0,2.0,20.0,-43.66197183098591,0.0,0.3537694240769918,31.04199898146968,1.0,0
A00,118,2025-04-07,41.0,Elevated,Adequate,symptom reports well above this area's normal level | 5 suspected cases reported by vets this week | 5 confirmed outbreaks in nearby sub-counties (last 4 weeks) | 7 vet-reported suspected cases in the last 2 weeks,outbreak declared here in the last 8 weeks | cattle arrivals +117% compared with recent weeks,10.0,5.0,74.0,117.18213058419245,32.0,0.348462882715837,59.061568169212,0.0,0
A00,119,2025-04-14,21.0,Low,Adequate,6 vet-reported suspected cases in the last 2 weeks | 7 confirmed outbreaks in nearby sub-counties (last 4 weeks) | 11 farmer symptom reports this week | symptom reports well above this area's normal level,outbreak declared here in the last 8 weeks | 21 farmer symptom reports in the last 2 weeks,11.0,1.0,33.0,-3.79746835443038,52.0,0.3432359394750994,43.26740901304509,0.0,0
A00,120,2025-04-21,12.0,Low,Adequate,2 vet-reported suspected cases in the last 2 weeks | 8 confirmed outbreaks in nearby sub-counties (last 4 weeks) | 8 farmer symptom reports this week | 35 cattle recorded arriving this week,outbreak declared here in the last 8 weeks | 36 cattle arrived from areas with recent outbreaks,8.0,1.0,35.0,0.628930817610063,36.0,0.3380874003829729,35.46770844585214,0.0,0
A00,121,2025-04-28,20.0,Low,Adequate,5 suspected cases reported by vets this week | 6 vet-reported suspected cases in the last 2 weeks | 7 confirmed outbreaks in nearby sub-counties (last 4 weeks) | 7 farmer symptom reports this week,outbreak declared here in the last 8 weeks | 36 cattle arrived from areas with recent outbreaks,7.0,5.0,105.0,152.14899713467048,36.0,0.3330160893772283,19.85565730088327,0.0,0
A00,122,2025-05-05,8.0,Low,Adequate,7 vet-reported suspected cases in the last 2 weeks | 2 suspected cases reported by vets this week | 4 confirmed outbreaks in nearby sub-counties (last 4 weeks) | 8 farmer symptom reports this week,outbreak declared here in the last 8 weeks | 15 farmer symptom reports in the last 2 weeks,8.0,2.0,60.0,37.56613756613756,33.0,0.3280208480365699,30.268671276439985,0.0,0
A00,123,2025-05-12,42.0,Elevated,Adequate,4 vet-reported suspected cases in the last 2 weeks | 11 farmer symptom reports in the last 2 weeks | 2 suspected cases reported by vets this week | 4 confirmed outbreaks in nearby sub-counties (last 4 weeks),outbreak declared here in the last 8 weeks | symptom reports at or below normal,3.0,2.0,57.0,26.208651399491096,13.0,0.3231005353160213,15.138927831823924,0.0,0
A00,124,2025-05-19,41.0,Elevated,Adequate,4 farmer symptom reports in the last 2 weeks | 3 vet-reported suspected cases in the last 2 weeks | 4 confirmed outbreaks in nearby sub-counties (last 4 weeks) | 1 farmer symptom reports this week,outbreak declared here in the last 8 weeks | drier than normal conditions,1.0,1.0,39.0,-16.9811320754717,0.0,0.318254027286281,28.338014583014488,0.0,0
A00,125,2025-05-26,39.0,Low,Adequate,2 vet-reported suspected cases in the last 2 weeks | 4 confirmed outbreaks in nearby sub-counties (last 4 weeks) | symptom reports at or below normal | 1 suspected cases reported by vets this week,outbreak declared here in the last 8 weeks | seasonal timing,0.0,1.0,28.0,-42.98056155507559,13.0,0.3134802168769868,25.50052968517729,0.0,0
A00,126,2025-06-02,73.0,High,Adequate,4 confirmed outbreaks in nearby sub-counties (last 4 weeks) | 2 farmer symptom reports in the last 2 weeks | no outbreak declared here in the last 8 weeks | 1 vet-reported suspected cases in the last 2 weeks,drier than normal conditions | 13 cattle arrived from areas with recent outbreaks,2.0,0.0,23.0,-52.4416135881104,13.0,0.308778013623832,8.221097388751984,0.0,0
A00,127,2025-06-09,75.0,High,Adequate,4 farmer symptom reports in the last 2 weeks | no outbreak declared here in the last 8 weeks | 2 confirmed outbreaks in nearby sub-counties (last 4 weeks) | 2 farmer symptom reports this week,drier than normal conditions | 18 cattle arrived from other sub-counties,2.0,0.0,18.0,-56.19047619047619,0.0,0.3041463434194745,8.746470328658248,0.0,0
