area_id,week,week_start,precip_mm,et0_mm,precip_clim_mm,et0_clim_mm
A00,0,2023-01-02,1.3,33.17,15.61111111111111,32.00666666666667
A00,1,2023-01-09,1.0,36.62,33.9,31.286
A00,2,2023-01-16,0.2,37.57,24.48,31.620000000000005
A00,3,2023-01-23,0.1,40.7,13.0,33.891000000000005
A00,4,2023-01-30,0.2,42.59,36.78,33.972
A00,5,2023-02-06,0.9,41.58,21.91,34.394
A00,6,2023-02-13,0.1,44.56,11.989999999999998,35.6
A00,7,2023-02-20,0.4,43.26,22.69,34.052
A00,8,2023-02-27,5.9,40.62,13.379999999999999,36.42
A00,9,2023-03-06,0.5,41.16,21.779999999999998,37.251999999999995
A00,10,2023-03-13,12.1,33.43,24.689999999999998,35.845
A00,11,2023-03-20,66.6,25.87,14.01,35.981
A00,12,2023-03-27,33.9,29.29,36.75,31.246000000000002
A00,13,2023-04-03,15.2,29.41,29.05,30.558000000000003
A00,14,2023-04-10,21.4,29.53,31.169999999999998,30.168
A00,15,2023-04-17,14.8,28.43,47.51,27.3
A00,16,2023-04-24,41.1,23.69,44.38,25.598
A00,17,2023-05-01,28.1,25.28,29.76,24.692
A00,18,2023-05-08,9.0,26.919999999999998,17.56,24.133
A00,19,2023-05-15,3.6,29.57,12.02,25.529999999999998
A00,20,2023-05-22,1.2,30.11,7.719999999999999,25.838
A00,21,2023-05-29,5.2,26.17,7.510000000000001,27.26
A00,22,2023-06-05,1.8,30.65,10.84,24.292
A00,23,2023-06-12,3.8,25.33,16.39,23.134999999999998
A00,24,2023-06-19,3.1,26.12,12.98,22.788999999999998
A00,25,2023-06-26,1.8,26.67,4.4399999999999995,25.377000000000002
A00,26,2023-07-03,0.3,25.16,2.31,25.068
A00,27,2023-07-10,0.2,32.26,3.6,24.7
A00,28,2023-07-17,3.0,31.79,1.33,26.822000000000003
A00,29,2023-07-24,1.5,28.09,5.5200000000000005,25.615
A00,30,2023-07-31,1.1,25.24,6.540000000000001,25.365000000000002
A00,31,2023-08-07,1.9,31.2,3.9199999999999995,26.786
A00,32,2023-08-14,0.7,35.95,9.7,29.601999999999997
A00,33,2023-08-21,0.2,39.38,4.7299999999999995,30.953000000000003
A00,34,2023-08-28,2.6,33.019999999999996,7.31,29.938
A00,35,2023-09-04,26.5,31.02,11.27,29.314
A00,36,2023-09-11,1.8,33.01,5.42,33.855000000000004
A00,37,2023-09-18,11.1,34.35,6.790000000000001,35.55
A00,38,2023-09-25,3.5,35.98,12.61,34.019
A00,39,2023-10-02,1.9000000000000001,36.62,11.27,36.215
A00,40,2023-10-09,4.6,38.7,6.85,36.794
A00,41,2023-10-16,7.0,34.01,11.440000000000001,34.684000000000005
A00,42,2023-10-23,1.2000000000000002,40.45,8.99,34.023
A00,43,2023-10-30,21.3,31.25,12.87,31.886000000000003
A00,44,2023-11-06,62.4,25.990000000000002,11.78,32.311
A00,45,2023-11-13,10.7,27.99,19.47,29.959000000000003
A00,46,2023-11-20,52.800000000000004,23.7,47.13,28.235000000000003
A00,47,2023-11-27,39.1,28.94,29.919999999999998,29.125
A00,48,2023-12-04,9.1,30.46,41.88,29.250999999999998
A00,49,2023-12-11,28.1,28.93,30.830000000000002,28.952999999999996
A00,50,2023-12-18,3.5,32.980000000000004,23.68,30.272000000000002
A00,51,2023-12-25,19.1,31.77,28.908333333333335,30.784166666666668
A00,52,2024-01-01,56.4,25.7,15.61111111111111,32.00666666666667
A00,53,2024-01-08,76.5,20.76,33.9,31.286
A00,54,2024-01-15,59.7,25.03,24.48,31.620000000000005
A00,55,2024-01-22,9.7,30.700000000000003,13.0,33.891000000000005
A00,56,2024-01-29,3.2,33.33,36.78,33.972
A00,57,2024-02-05,5.7,34.08,21.91,34.394
